B/U;dependent;independent;AUC;eta;depth;f1;cm
B;2;((3, 11), (6, 7));0.556066080349;0.05;10;0.0369869192603;[13195 10467   208   205]
B;2;((3, 11), (9, 10, 12));0.710571674806;0.05;12;0.637889688249;[258 155 147 266]
B;2;((3, 11), (9, 10, 12));0.704120101027;0.05;12;0.0555671610612;[14767  8895   147   266]
B;2;((3, 11), (4, 5, 8));0.590409159929;0.05;8;0.519379844961;[253 160 212 201]
B;2;((3, 11), (4, 5, 8));0.570256802675;0.05;8;0.0385722510075;[13854  9808   212   201]
B;2;((13, 14), (6, 7));0.650956504406;0.2;12;0.675623800384;[136 277  61 352]
B;2;((13, 14), (6, 7));0.635993121858;0.2;12;0.0420173082662;[ 7672 15990    61   352]
B;2;((13, 14), (9, 10, 12));0.709498795209;0.1;10;0.704980842912;[150 263  45 368]
B;2;((13, 14), (9, 10, 12));0.705320419557;0.1;10;0.0466827349994;[ 8677 14985    45   368]
B;2;((13, 14), (4, 5, 8));0.657815898551;0.1;12;0.680728667306;[138 275  58 355]
B;2;((13, 14), (4, 5, 8));0.6442056337;0.1;12;0.0426554520877;[ 7785 15877    58   355]
B;2;((6, 7), (9, 10, 12));0.695885536059;0.2;10;0.703984819734;[143 270  42 371]
B;2;((6, 7), (9, 10, 12));0.681213306119;0.05;10;0.0449465798846;[ 8155 15507    47   366]
B;2;((6, 7), (4, 5, 8));0.519836547087;0.05;8;0.666112956811;[ 23 390  12 401]
B;2;((6, 7), (4, 5, 8));0.522821350239;0.05;8;0.0346810810811;[ 1351 22311    12   401]
B;2;((9, 10, 12), (4, 5, 8));0.690638392674;0.2;12;0.697896749522;[145 268  48 365]
B;2;((9, 10, 12), (4, 5, 8));0.679289163794;0.05;12;0.0448954489545;[ 8180 15482    48   365]
B;2;((3, 11), (13, 14), (6, 7));0.687305430647;0.05;10;0.627261761158;[257 156 153 260]
B;2;((3, 11), (13, 14), (6, 7));0.660150939288;0.1;8;0.0502033931938;[14249  9413   160   253]
B;2;((3, 11), (13, 14), (9, 10, 12));0.735025121798;0.1;10;0.645631067961;[268 145 147 266]
