Date & Time,Posts in last 24H,Inactivity,First posts,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2007-01-23 15:00:00,0,115,0.0,0.380952380952,21.0,0.015873015873,0.131349206349,5.90476190476
2007-01-25 12:00:00,0,44,0.0,0.0,16.0,0.119791666667,0.25,6.625
2007-01-28 18:00:00,0,77,0.0,0.0,8.0,0.131875,0.20625,8.25
2007-01-31 18:00:00,0,71,0.0,0.25,12.0,-0.034143518518500005,0.160185185185,5.33333333333
2007-02-02 14:00:00,0,43,0.0,0.14285714285700002,10.0,-0.000992063492063,0.253373015873,9.90476190476
2007-02-03 12:00:00,2,21,0.0,0.0,4.0,0.11875,0.24583333333299998,15.75
2007-02-07 17:00:00,0,100,0.0,0.0,6.0,-0.0291666666667,0.15,14.666666666700001
2007-02-11 11:00:00,0,89,0.0,0.55,20.0,0.014166666666700002,0.0709444444444,4.7
2007-02-12 10:00:00,1,22,0.0,0.105263157895,9.0,0.000657894736842,0.404210526316,12.7894736842
2007-02-12 19:00:00,2,8,0.0,0.0,11.0,0.163636363636,0.2,4.909090909090001
2007-02-14 08:00:00,0,36,0.0,0.375,16.0,0.015625,0.16875,8.625
2007-02-14 14:00:00,1,5,0.0,0.117647058824,8.25,0.0237745098039,0.10343137254899999,5.67647058824
2007-02-14 20:00:00,5,5,0.0,0.15,20.0,0.0,0.015,3.9
2007-02-15 08:00:00,6,11,0.0,0.363636363636,11.0,-0.00909090909091,0.12727272727299999,7.909090909089999
2007-02-15 15:00:00,2,6,0.0,0.111111111111,9.0,0.206944444444,0.34506172839500004,10.5555555556
2007-02-16 14:00:00,1,22,0.0,0.0,17.0,0.0441176470588,0.056862745098,2.6470588235299997
2007-02-16 18:00:00,1,3,0.0,0.4,10.0,-0.045,0.1,8.6
2007-02-17 09:00:00,2,14,0.0,0.0,5.0,0.12,0.26,8.0
2007-02-18 18:00:00,0,32,0.0,0.1,20.0,0.17275,0.359166666667,10.1
2007-02-18 19:00:00,1,0,0.0,0.0,6.5,0.126602564103,0.201282051282,6.61538461538
2007-02-19 19:00:00,2,23,0.0,0.0,5.0,0.0,0.0,3.4
2007-02-19 20:00:00,1,0,0.0,0.25,12.0,0.111111111111,0.303472222222,4.16666666667
2007-02-19 21:00:00,2,0,0.0,0.307692307692,6.0,0.120833333333,0.270512820513,8.61538461538
2007-02-20 18:00:00,4,20,0.0,0.6,5.0,0.0,0.0,3.0
2007-02-26 09:00:00,0,134,0.0,0.75,12.0,0.008333333333329999,0.160416666667,3.91666666667
2007-03-09 20:00:00,0,274,1.0,0.368421052632,19.0,0.047660818713499996,0.200438596491,8.52631578947
2007-03-09 21:00:00,1,0,0.0,0.329545454545,21.75,0.00523674242424,0.135473484848,6.6363636363600005
2007-03-09 22:00:00,5,0,0.0,0.75,8.0,0.0625,0.1125,5.375
2007-03-11 17:00:00,0,42,0.0,0.5,6.0,-0.025,0.12222222222200001,9.666666666669999
2007-03-11 21:00:00,1,3,0.0,0.0,4.0,-0.0625,0.179166666667,15.75
2007-03-14 22:00:00,0,72,0.0,0.181818181818,11.0,-0.0636363636364,0.12727272727299999,14.0
2007-04-10 08:00:00,0,633,0.0,0.526315789474,9.0,0.052631578947400004,0.22763157894699998,8.52631578947
2007-04-11 17:00:00,0,32,0.0,0.428571428571,7.0,0.036666666666699994,0.0895238095238,10.285714285700001
2007-05-20 15:00:00,0,933,0.0,0.125,8.0,-0.122916666667,0.42395833333300004,21.625
2007-05-20 18:00:00,1,2,0.0,0.0,5.0,-0.005,0.15,12.2
2007-05-21 23:00:00,0,28,0.0,0.14285714285700002,7.0,0.11349206349199999,0.214285714286,12.0
2007-06-27 22:00:00,0,886,0.0,0.111111111111,9.0,0.123148148148,0.303703703704,9.333333333330001
2007-07-05 07:00:00,0,176,0.0,0.2,15.0,0.05,0.08333333333330001,8.13333333333
2007-07-16 08:00:00,0,264,0.0,0.0,15.0,-0.0188888888889,0.171111111111,9.933333333330001
2007-08-07 15:00:00,0,534,0.0,0.666666666667,12.0,0.0361111111111,0.116666666667,5.75
2007-08-07 21:00:00,1,5,0.0,0.33333333333299997,12.0,-0.12430555555600001,0.308333333333,12.583333333299999
2007-08-13 18:00:00,0,140,0.0,0.0,15.0,-0.09583333333329999,0.233333333333,6.266666666669999
2007-08-15 22:00:00,0,51,0.0,0.42105263157899997,19.0,0.160745614035,0.284210526316,6.26315789474
2007-09-02 10:00:00,0,419,0.0,0.0,8.0,0.08125,0.240625,14.75
2007-09-02 11:00:00,1,0,0.0,0.0,6.0,0.211574074074,0.455092592593,19.8333333333
2007-09-09 09:00:00,0,165,0.0,0.428571428571,14.0,0.09107142857139999,0.23809523809500002,8.5
2007-09-26 15:00:00,0,413,0.0,0.25,12.0,0.036979166666699995,0.259722222222,4.75
2007-09-27 08:00:00,1,16,0.0,0.0,7.0,0.045,0.22142857142900002,6.28571428571
2007-09-29 10:00:00,0,49,0.0,0.0,8.0,0.1875,0.327083333333,5.625
