,,Date & Time,ETD,Sentiment
4,82566,2014-02-01 10:00:00,1029.0,0.060238095238095236
4,82572,2014-02-01 16:00:00,1029.0,0.5
4,82808,2014-02-11 12:00:00,1019.0,0.005555555555555558
4,82811,2014-02-11 15:00:00,1019.0,0.08625
4,82833,2014-02-12 13:00:00,1018.0,-0.08854166666666666
4,82928,2014-02-16 12:00:00,1014.0,0.22400462962962958
4,83239,2014-03-01 11:00:00,1001.0,0.47500000000000003
4,83766,2014-03-23 10:00:00,979.0,0.02407407407407407
4,85110,2014-05-18 10:00:00,923.0,0.08437499999999999
4,85592,2014-06-07 12:00:00,903.0,0.012499999999999992
4,85691,2014-06-11 15:00:00,899.0,0.18333333333333335
4,87418,2014-08-22 14:00:00,827.0,-0.05416666666666666
4,88470,2014-10-05 10:00:00,783.0,0.14375000000000002
4,88638,2014-10-12 10:00:00,776.0,0.3666666666666667
4,89680,2014-11-24 20:00:00,733.0,-0.1388888888888889
4,89742,2014-11-27 10:00:00,730.0,0.07500000000000001
4,89774,2014-11-28 18:00:00,729.0,0.03484375000000001
4,100162,2016-02-04 14:00:00,296.0,0.37249999999999994
4,100206,2016-02-06 10:00:00,294.0,0.026041666666666668
4,100208,2016-02-06 12:00:00,294.0,-0.05833333333333333
4,100543,2016-02-20 11:00:00,280.0,0.1166666666666667
4,100696,2016-02-26 20:00:00,274.0,0.02820512820512821
4,101531,2016-04-01 15:00:00,239.0,-0.12142857142857141
4,101744,2016-04-10 12:00:00,230.0,0.0
4,102223,2016-04-30 11:00:00,210.0,0.03949999999999999
5,565,2004-09-24 17:00:00,3845.0,0.10083333333333333
5,612,2004-09-26 16:00:00,3843.0,0.07500000000000001
5,640,2004-09-27 20:00:00,3842.0,0.0
5,662,2004-09-28 18:00:00,3841.0,0.1283333333333333
5,738,2004-10-01 22:00:00,3838.0,0.08125000000000002
5,855,2004-10-06 19:00:00,3833.0,0.07759259259259259
5,4502,2005-03-07 18:00:00,3681.0,-0.058645833333333314
5,4809,2005-03-20 13:00:00,3668.0,0.07777777777777778
5,5460,2005-04-16 16:00:00,3641.0,0.0
5,6473,2005-05-28 21:00:00,3599.0,-0.036363636363636355
5,6635,2005-06-04 15:00:00,3592.0,-0.051388888888888894
5,7039,2005-06-21 11:00:00,3575.0,0.0
5,7363,2005-07-04 23:00:00,3562.0,-0.24444444444444446
5,7378,2005-07-05 14:00:00,3561.0,-0.13333333333333336
5,7544,2005-07-12 12:00:00,3554.0,0.11953125
5,8248,2005-08-10 20:00:00,3525.0,-0.033749999999999974
5,8249,2005-08-10 21:00:00,3525.0,0.04833333333333333
5,8289,2005-08-12 13:00:00,3523.0,0.18333333333333332
5,8310,2005-08-13 10:00:00,3522.0,-0.37999999999999995
5,8413,2005-08-17 17:00:00,3518.0,0.06250000000000001
5,8441,2005-08-18 21:00:00,3517.0,0.0
5,8463,2005-08-19 19:00:00,3516.0,0.5874999999999999
5,8528,2005-08-22 12:00:00,3513.0,0.09166666666666666
5,8532,2005-08-22 16:00:00,3513.0,0.0855648148148148
5,8533,2005-08-22 17:00:00,3513.0,0.057291666666666664
5,8602,2005-08-25 14:00:00,3510.0,0.028749999999999998
5,8941,2005-09-08 17:00:00,3496.0,0.14083333333333334
5,9148,2005-09-17 08:00:00,3487.0,0.0
5,9304,2005-09-23 20:00:00,3481.0,0.3333333333333333
5,9378,2005-09-26 22:00:00,3478.0,0.14583333333333337
5,9425,2005-09-28 21:00:00,3476.0,0.0
5,9927,2005-10-19 19:00:00,3455.0,0.075
5,10165,2005-10-29 17:00:00,3445.0,0.25416666666666665
5,10287,2005-11-03 19:00:00,3440.0,0.8124999999999999
