Date & Time,Inactivity,Over past 30 days
2005-09-12 04:00:00,0,1.5806451612903225
2005-09-13 04:00:00,0,1.5806451612903225
2005-09-14 04:00:00,0,1.5483870967741935
2005-09-15 04:00:00,0,1.4838709677419355
2005-09-16 04:00:00,0,1.3870967741935485
2005-09-17 04:00:00,1,1.2903225806451613
2005-09-18 04:00:00,0,1.2903225806451613
2005-09-19 04:00:00,0,1.2903225806451613
2005-09-20 04:00:00,0,1.2903225806451613
2005-09-21 04:00:00,1,1.3225806451612903
2005-09-22 04:00:00,2,1.3870967741935485
2005-09-23 04:00:00,0,1.3870967741935485
2005-09-24 04:00:00,0,1.3870967741935485
2005-09-25 04:00:00,0,1.3548387096774193
2005-09-26 04:00:00,1,1.3870967741935485
2005-09-27 04:00:00,2,1.4193548387096775
2005-09-28 04:00:00,3,1.5161290322580645
2005-09-29 04:00:00,0,1.4838709677419355
2005-09-30 04:00:00,1,1.4516129032258065
2005-10-01 04:00:00,2,1.3333333333333333
2005-10-02 04:00:00,0,1.1666666666666667
2005-10-03 04:00:00,1,1.0
2005-10-04 04:00:00,0,0.7666666666666667
2005-10-05 04:00:00,0,0.5
2005-10-06 04:00:00,0,0.5
2005-10-07 04:00:00,0,0.5
2005-10-08 04:00:00,1,0.5333333333333333
2005-10-09 04:00:00,2,0.6
2005-10-10 04:00:00,0,0.6
2005-10-11 04:00:00,0,0.5666666666666667
2005-10-12 04:00:00,0,0.5666666666666667
2005-10-13 04:00:00,0,0.5666666666666667
2005-10-14 04:00:00,1,0.6
2005-10-15 04:00:00,0,0.6
2005-10-16 04:00:00,1,0.6333333333333333
2005-10-17 04:00:00,0,0.6
2005-10-18 04:00:00,1,0.6333333333333333
2005-10-19 04:00:00,0,0.6333333333333333
2005-10-20 04:00:00,0,0.6333333333333333
2005-10-21 04:00:00,1,0.6333333333333333
2005-10-22 04:00:00,2,0.6333333333333333
2005-10-23 04:00:00,0,0.6333333333333333
2005-10-24 04:00:00,0,0.6333333333333333
2005-10-25 04:00:00,1,0.6666666666666666
2005-10-26 04:00:00,0,0.6333333333333333
2005-10-27 04:00:00,0,0.5666666666666667
2005-10-28 04:00:00,1,0.5
2005-10-29 04:00:00,0,0.5
2005-10-30 04:00:00,0,0.4666666666666667
2005-10-31 04:00:00,0,0.45161290322580644
2005-11-01 04:00:00,1,0.41935483870967744
2005-11-02 04:00:00,2,0.4838709677419355
2005-11-03 04:00:00,3,0.5483870967741935
2005-11-04 04:00:00,4,0.6774193548387096
2005-11-05 04:00:00,5,0.8387096774193549
2005-11-06 04:00:00,6,1.032258064516129
2005-11-07 04:00:00,7,1.2580645161290323
2005-11-08 04:00:00,0,1.2258064516129032
2005-11-09 04:00:00,0,1.1612903225806452
2005-11-10 04:00:00,1,1.1935483870967742
2005-11-11 04:00:00,2,1.2580645161290323
2005-11-12 04:00:00,3,1.3548387096774193
2005-11-13 04:00:00,4,1.4838709677419355
2005-11-14 04:00:00,5,1.6129032258064515
2005-11-15 04:00:00,6,1.8064516129032258
2005-11-16 04:00:00,7,2.0
2005-11-17 04:00:00,8,2.2580645161290325
2005-11-18 04:00:00,0,2.225806451612903
2005-11-19 04:00:00,1,2.2580645161290325
2005-11-20 04:00:00,0,2.2580645161290325
2005-11-21 04:00:00,0,2.225806451612903
2005-11-22 04:00:00,0,2.161290322580645
2005-11-23 04:00:00,1,2.193548387096774
2005-11-24 04:00:00,0,2.193548387096774
2005-11-25 04:00:00,1,2.193548387096774
2005-11-26 04:00:00,2,2.2580645161290325
2005-11-27 04:00:00,3,2.3548387096774195
2005-11-28 04:00:00,4,2.4516129032258065
2005-11-29 04:00:00,0,2.4516129032258065
2005-11-30 04:00:00,0,2.4516129032258065
2005-12-01 04:00:00,0,2.5
2005-12-02 04:00:00,1,2.466666666666667
2005-12-03 04:00:00,0,2.3666666666666667
2005-12-04 04:00:00,0,2.2333333333333334
2005-12-05 04:00:00,0,2.066666666666667
2005-12-06 04:00:00,0,1.8666666666666667
2005-12-07 04:00:00,1,1.6666666666666667
2005-12-08 04:00:00,2,1.7333333333333334
2005-12-09 04:00:00,3,1.8333333333333333
2005-12-10 04:00:00,0,1.8
2005-12-11 04:00:00,1,1.7666666666666666
2005-12-12 04:00:00,0,1.6666666666666667
2005-12-13 04:00:00,0,1.5333333333333334
2005-12-14 04:00:00,1,1.4
2005-12-15 04:00:00,0,1.2
2005-12-16 04:00:00,0,0.9666666666666667
2005-12-17 04:00:00,0,0.7
2005-12-18 04:00:00,1,0.7333333333333333
2005-12-19 04:00:00,2,0.7666666666666667
